Nearest City Name,Lat,Lng,Temp,Humidity,Cloudiness,Wind Speed
albany,42.65,-73.76,54.07,87,90,11.41
punta arenas,-53.15,-70.92,42.8,70,75,10.29
kavieng,-2.57,150.8,83.73,100,56,7.23
talnakh,69.49,88.4,2.6,93,80,7
lebu,-37.62,-73.65,54.48,98,92,11.88
la plata,-34.92,-57.95,68.09,82,0,4.7
avarua,-21.21,-159.78,78.8,94,75,17.22
quelimane,-17.88,36.89,80.6,83,20,4.7
kapaa,22.08,-159.32,67.15,68,75,16.11
lodwar,3.12,35.6,77.84,47,0,6.29
egvekinot,66.32,-179.17,14.75,78,76,12.93
cape town,-33.93,18.42,66.2,68,0,5.82
mar del plata,-38,-57.56,60.8,87,0,6.93
arraial do cabo,-22.97,-42.03,73.25,93,56,9.13
rikitea,-23.12,-134.97,76.62,100,56,8.79
north vanlaiphai,23.13,93.07,71.67,66,8,2.3
changde,29.05,111.68,54.03,89,24,2.75
kapaa,22.08,-159.32,67.15,68,75,16.11
busselton,-33.65,115.33,71.13,89,0,15.68
rikitea,-23.12,-134.97,76.62,100,56,8.79
bluff,-46.6,168.33,62.31,97,88,9.31
port alfred,-33.59,26.89,67.4,91,88,15.46
torbay,47.67,-52.73,32,100,90,13.87
vila franca do campo,37.72,-25.43,66.2,93,75,10.29
ginir,7.13,40.7,65.42,51,0,2.48
okha,53.57,142.95,-6.36,100,32,4.76
ushuaia,-54.8,-68.3,36.75,84,36,18.63
tahoua,14.89,5.27,62.13,42,20,12.26
kodiak,57.79,-152.41,32,100,1,4.99
trincomalee,8.57,81.23,80.09,95,76,6.29
rikitea,-23.12,-134.97,76.62,100,56,8.79
deputatskiy,69.3,139.9,-12.39,74,68,3.53
east london,-33.02,27.91,64.4,77,0,4.7
dunedin,-45.87,170.5,66.63,70,20,7.29
kruisfontein,-34,24.73,65.87,84,56,16.35
norman wells,65.28,-126.83,5,84,20,11.41
saint-philippe,-21.36,55.77,81.43,58,0,6.93
jamestown,42.1,-79.24,30.85,63,90,23.04
bluff,-46.6,168.33,62.31,97,88,9.31
desaguadero,-16.57,-69.04,30.72,93,48,2.71
hamilton,43.23,-79.95,32.49,100,75,14.99
severo-kurilsk,50.68,156.12,27.8,100,80,14.27
nouadhibou,20.93,-17.03,68,28,0,23.04
carnarvon,-24.87,113.63,79.77,77,0,17.81
kodiak,57.79,-152.41,32,100,1,4.99
hermanus,-34.42,19.23,65.24,71,56,5.84
vaini,-21.2,-175.2,82.4,78,75,2.98
cockburn town,21.46,-71.14,76.04,100,92,24.56
salinopolis,-0.61,-47.36,81.75,94,0,13.56
ushuaia,-54.8,-68.3,36.75,84,36,18.63
phuket,7.89,98.4,84.38,69,75,8.05
tura,25.52,90.22,75.77,73,0,3.87
tasiilaq,65.61,-37.64,15.8,61,0,3.36
poum,-20.23,164.02,78.06,100,100,17.85
touros,-5.2,-35.46,78.33,92,76,9.31
hobart,-42.88,147.33,60.8,63,75,9.17
bluff,-46.6,168.33,62.31,97,88,9.31
boguchany,58.38,97.45,19.02,72,80,8.08
tornio,65.85,24.13,3.2,84,90,4.7
barrow,71.29,-156.79,8.6,92,90,12.75
rikitea,-23.12,-134.97,76.62,100,56,8.79
bridgewater,44.38,-64.52,44.13,83,88,11.65
morris,41.36,-88.42,26.6,63,1,11.41
susanville,40.42,-120.65,24.8,79,1,2.19
tuapse,44.11,39.07,31.4,91,68,5.61
sinnamary,5.38,-52.95,78.92,100,92,11.54
caconda,-13.73,15.07,64.79,97,68,3.38
nanortalik,60.14,-45.24,25.95,90,8,1.97
dikson,73.51,80.55,-3.75,100,24,28.59
avarua,-21.21,-159.78,78.8,94,75,17.22
prince albert,53.2,-105.77,6.8,77,75,8.05
leh,34.17,77.58,-3.93,77,0,1.86
bonthe,7.53,-12.51,77.84,96,12,3.31
dingle,11,122.67,86.3,68,8,11.25
komsomolskiy,40.43,71.72,27.86,86,90,2.98
buala,-8.14,159.59,82.07,99,88,4.05
punta arenas,-53.15,-70.92,42.8,70,75,10.29
smithers,54.78,-127.17,23,92,90,2.24
shubarshi,48.59,57.19,23.79,89,44,20.6
port alfred,-33.59,26.89,67.4,91,88,15.46
port elizabeth,-33.92,25.57,66.2,82,40,12.75
albany,42.65,-73.76,54.07,87,90,11.41
bikaner,28.02,73.3,66.63,48,0,7.78
finschhafen,-6.6,147.87,78.24,92,80,1.7
victoria,48.43,-123.37,39.52,86,20,5.82
albany,42.65,-73.76,54.07,87,90,11.41
havoysund,71,24.66,27.48,86,75,12.75
nizwa,22.93,57.53,61.5,24,0,3.98
rikitea,-23.12,-134.97,76.62,100,56,8.79
yar-sale,66.83,70.83,21.54,86,0,16.62
cherskiy,68.75,161.3,5.7,75,68,2.26
ushuaia,-54.8,-68.3,36.75,84,36,18.63
kamenka,51.32,42.77,25.05,91,76,5.32
lebu,-37.62,-73.65,54.48,98,92,11.88
yellowknife,62.46,-114.35,8.6,84,5,9.17
butaritari,3.07,172.79,82.65,100,44,11.59
